@RELATION train_kademe2

@ATTRIBUTE il {Aydin,Bolu,Canakkale,Denizli,Edirne,Kayseri,Konya,Manisa,Mersin,Sakarya,Tekirdag,Yalova,bilinmiyor}
@ATTRIBUTE ilce {Acipayam,Adapazari,Ahmetli,Akdeniz,Akhisar,Aksehir,Akyazi,Alasehir,Altinekin,Altinova,Anamur,Arifiye,Armutlu,Aydincik,Babadag,Baklan,Beysehir,Bozcaada,Bozdogan,Bozkurt,Bozyazi,Buharkent,Buldan,Bunyan,Cal,Cameli,Camliyayla,Cardak,Cerkezkoy,Ciftlikkoy,Cihanbeyli,Cinarcik,Cine,Civril,Corlu,Cumra,Demirci,Develi,Didim,Efeler,Enez,Erdemli,Eregli,Erenler,Ergene,Ferizli,Gelibolu,Gerede,Germencik,Geyve,Gokceada,Golmarmara,Gordes,Goynuk,Gulnar,Guney,Hacilar,Havsa,Hendek,Honaz,Incesu,Incirliova,Ipsala,Kadinhani,Kapakli,Karacasu,Karapinar,Karapurcek,Karasu,Karatay,Karpuzlu,Kaynarca,Kesan,Kirkagac,Kocaali,Kocarli,Kocasinan,Koprubasi,Kosk,Kula,Kulu,Kusadasi,Kuyucak,Lalapasa,Malkara,Marmaraereglisi,Melikgazi,Meram,Meric,Merkez,Merkezefendi,Mezitli,Mudurnu,Muratli,Mut,Nazilli,Ozvatan,Pamukkale,Pamukova,Pinarbasi,Salihli,Sapanca,Saray,Saraykoy,Sarioglan,Sarkoy,Saruhanli,Sehzadeler,Selcuklu,Selendi,Serdivan,Serinhisar,Silifke,Sogutlu,Soke,Soma,Suleymanpasa,Suloglu,Sultanhisar,Talas,Tarakli,Tarsus,Tavas,Termal,Tomarza,Toroslar,Turgutlu,Uzunkopru,Yahyali,Yenice,Yenipazar,Yenisehir,Yesilhisar,Yunusemre,bilinmiyor}
@ATTRIBUTE emlak_tipi {Satilik,bilinmiyor}
@ATTRIBUTE bina_yasi_raw {0,0_Oturuma_Hazir,0_Yapim_Asamasinda,1,10_Yasinda,11_15_arasi,11_Yasinda,12_Yasinda,13_Yasinda,14_Yasinda,15_Yasinda,16_20_arasi,16_Yasinda,17_Yasinda,19_Yasinda,1_5_arasi,1_Yasinda,2,20,20_Yasinda,21_25_arasi,21_Yasinda,23_Yasinda,25_Yasinda,26_30_arasi,26_Yasinda,27_Yasinda,28_Yasinda,29_Yasinda,2_Yasinda,3,30_Yasinda,31_Yasinda,31_ve_uzeri,35_Yasinda,36_Yasinda,39_Yasinda,3_Yasinda,4,45_Yasinda,4_Yasinda,5,50_Yasinda,5_Yasinda,6_10_arasi,6_Yasinda,7_Yasinda,8_Yasinda,9_Yasinda,Sifir_Bina,bilinmiyor}
@ATTRIBUTE bulundugu_kat_raw {1,1._Kat,10,10._Kat,11,11._Kat,12,12._Kat,13,13._Kat,14,15,16,17,18,19,2,2._Kat,20,21_ve_uzeri,3,3._Kat,4,4._Kat,5,5._Kat,6,6._Kat,7,7._Kat,8,8._Kat,9,9._Kat,Ara_Kat,Bahce,Bahce_Kati,Bodrum,Cati,Cati_Kati,En_Ust_Kat,Giris,Giris_Kati,Kot_1,Kot_2,Kot_3,Mustakil,Teras_Kati,Tripleks,Villa_Kati,Villa_Tipi,Yuksek_Giris,Zemin,Zemin_Kat,bilinmiyor}
@ATTRIBUTE isitma_ana_sinif {Dogalgaz_Sobasi,Elektrikli_Radyator,Gunes_Enerjisi,Isi_Pompasi,Jeotermal,Kat_Kaloriferi,Klima,Kombi,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Soba,Somine,VRV,Yerden_Isitma,Yok,belirtilmemis_dogalgaz,belirtilmemis_elektrik,belirtilmemis_komur_odun,bilinmiyor,isi_pompasi,isi_pompasi_dogalgaz,isi_pompasi_elektrik,isi_pompasi_komur_odun,isitma_yok,isitma_yok_dogalgaz,isitma_yok_elektrik,isitma_yok_komur_odun}
@ATTRIBUTE mutfak_raw {2_Oda,2_oda,Acik_Amerikan,Alaturka_Wc_Lavabo,Banyo,Genel_kullanim_banyosu,Kapali,Kiler,Oturma_Odasi,Oturma_odasi,Salon,bilinmiyor,•}
@ATTRIBUTE mutfak_acik_mi {yok,var}
@ATTRIBUTE balkon {yok,var}
@ATTRIBUTE asansor {yok,var}
@ATTRIBUTE otopark {yok,var}
@ATTRIBUTE esyali {yok,var}
@ATTRIBUTE Bati {yok,var}
@ATTRIBUTE Dogu {yok,var}
@ATTRIBUTE Guney {yok,var}
@ATTRIBUTE Kuzey {yok,var}
@ATTRIBUTE Akilli_Ev {yok,var}
@ATTRIBUTE Celik_Kapi {yok,var}
@ATTRIBUTE Ebeveyn_Banyosu {yok,var}
@ATTRIBUTE Fiber_Internet {yok,var}
@ATTRIBUTE Isicam {yok,var}
@ATTRIBUTE Somine {yok,var}
@ATTRIBUTE Isi_Yalitimi {yok,var}
@ATTRIBUTE Mustakil_Havuzlu {yok,var}
@ATTRIBUTE Ses_Yalitimi {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Acik {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Kapali {yok,var}
@ATTRIBUTE Bogaz {yok,var}
@ATTRIBUTE Deniz {yok,var}
@ATTRIBUTE Doga {yok,var}
@ATTRIBUTE Gol {yok,var}
@ATTRIBUTE Nehir {yok,var}
@ATTRIBUTE Sehir {yok,var}
@ATTRIBUTE Dubleks {yok,var}
@ATTRIBUTE Bahce_Dubleksi {yok,var}
@ATTRIBUTE Cati_Dubleksi {yok,var}
@ATTRIBUTE Tripleks {yok,var}
@ATTRIBUTE sege_kademe {bilinmiyor,kademe_2}
@ATTRIBUTE salon_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE mutfak_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE banyo_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE metrekare_kategori {0_50_m2,100_125_m2,125_150_m2,150_200_m2,200_300_m2,300_m2_ve_ustu,50_75_m2,75_100_m2,bilinmiyor}
@ATTRIBUTE oda_kategori {1_oda,2_oda,3_oda,4_oda,5_oda,6_oda,7_oda_ve_ustu,bilinmiyor}
@ATTRIBUTE kat_sayisi_kategori {alcak_1_3_kat,bilinmiyor,cok_yuksek_16_ustu_kat,orta_4_7_kat,yuksek_8_15_kat}
@ATTRIBUTE banyo_kategori {1_banyo,2_banyo,3_banyo_ve_ustu,bilinmiyor}
@ATTRIBUTE guvenlik_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE luks_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE sosyal_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE ulasim_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE cevre_yakinlik_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE ic_konfor_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE engelli_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE fiyat_kategorisi {10_Milyon_TL_Ustu,1_5_2_Milyon_TL_Arasi,1_5_Milyon_TL_Alti,2_3_Milyon_TL_Arasi,3_4_Milyon_TL_Arasi,4_5_Milyon_TL_Arasi,5_7_Bucuk_Milyon_TL_Arasi,7_Bucuk_10_Milyon_TL_Arasi}

@DATA
Mersin,Erdemli,Satilik,0,2,Klima,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_2,bilinmiyor,bilinmiyor,iyi,50_75_m2,2_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,yok,orta,yok,2_3_Milyon_TL_Arasi
Edirne,Meric,Satilik,6_10_arasi,bilinmiyor,Soba,bilinmiyor,yok,var,yok,yok,yok,var,var,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,var,yok,yok,yok,yok,kademe_2,kotu,bilinmiyor,kotu,300_m2_ve_ustu,4_oda,alcak_1_3_kat,1_banyo,yok,dusuk,yok,dusuk,orta,yuksek,yok,2_3_Milyon_TL_Arasi
Sakarya,Adapazari,Satilik,11_15_arasi,3,Kombi,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,kademe_2,normal,normal,bilinmiyor,150_200_m2,4_oda,orta_4_7_kat,2_banyo,yok,yok,dusuk,orta,orta,dusuk,yok,4_5_Milyon_TL_Arasi
Sakarya,Adapazari,Satilik,6_10_arasi,Bahce,Soba,bilinmiyor,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_2,iyi,normal,bilinmiyor,200_300_m2,2_oda,alcak_1_3_kat,2_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,5_7_Bucuk_Milyon_TL_Arasi
Sakarya,Arifiye,Satilik,0,1,Yerden_Isitma,bilinmiyor,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_2,bilinmiyor,normal,iyi,100_125_m2,3_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Kayseri,Develi,Satilik,0,Ara_Kat,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,var,var,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_2,bilinmiyor,iyi,bilinmiyor,100_125_m2,4_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,yok,orta,dusuk,yuksek,yok,2_3_Milyon_TL_Arasi
Edirne,Ipsala,Satilik,26_30_arasi,bilinmiyor,Soba,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_2,bilinmiyor,bilinmiyor,bilinmiyor,75_100_m2,3_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,2_3_Milyon_TL_Arasi
Aydin,Didim,Satilik,0,Yuksek_Giris,Klima,bilinmiyor,yok,yok,var,yok,yok,var,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,kademe_2,iyi,normal,bilinmiyor,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,dusuk,yok,dusuk,orta,orta,yok,3_4_Milyon_TL_Arasi
Mersin,Yenisehir,Satilik,26_30_arasi,3,Klima,bilinmiyor,yok,var,var,yok,yok,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_2,kotu,kotu,bilinmiyor,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,dusuk,yok,orta,orta,yuksek,yok,2_3_Milyon_TL_Arasi
Edirne,Merkez,Satilik,0,2,Kombi,bilinmiyor,yok,var,var,var,yok,var,var,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_2,normal,iyi,kotu,75_100_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,dusuk,dusuk,orta,yuksek,yok,2_3_Milyon_TL_Arasi
Kayseri,Kocasinan,Satilik,6_10_arasi,13,Merkezi,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_2,kotu,normal,bilinmiyor,150_200_m2,4_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Manisa,Akhisar,Satilik,0,2,Kombi,bilinmiyor,yok,var,yok,var,yok,var,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_2,iyi,bilinmiyor,bilinmiyor,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,dusuk,yok,dusuk,orta,yuksek,yok,3_4_Milyon_TL_Arasi
Mersin,Erdemli,Satilik,0,Yuksek_Giris,Klima,bilinmiyor,yok,yok,yok,var,yok,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_2,bilinmiyor,bilinmiyor,bilinmiyor,75_100_m2,2_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,dusuk,dusuk,yok,2_3_Milyon_TL_Arasi
Edirne,Merkez,Satilik,1_5_arasi,2,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,var,var,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_2,iyi,kotu,bilinmiyor,50_75_m2,2_oda,yuksek_8_15_kat,1_banyo,dusuk,yok,yok,orta,yok,yuksek,yok,3_4_Milyon_TL_Arasi
Mersin,Mezitli,Satilik,0,5,Dogalgaz_Sobasi,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_2,iyi,bilinmiyor,iyi,100_125_m2,3_oda,yuksek_8_15_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Aydin,Kusadasi,Satilik,11_15_arasi,bilinmiyor,isi_pompasi,bilinmiyor,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_2,iyi,kotu,kotu,300_m2_ve_ustu,7_oda_ve_ustu,orta_4_7_kat,3_banyo_ve_ustu,yok,yok,yok,dusuk,yok,yok,yok,10_Milyon_TL_Ustu
